actor_name,actor_id,movie_id,relevance
Paul Sorvino,0000649,tt0099685,5
Frank Sivero,0803370,tt0099685,6
Tony Darrow,0201700,tt0099685,7
Mike Starr,0823563,tt0099685,8
Frank Vincent,0898634,tt0099685,9
Chuck Low,0522797,tt0099685,10
Michael Berryman,0077720,tt0073486,1
Peter Brocco,0110480,tt0073486,2
Dean R. Brooks,0111954,tt0073486,3
Alonzo Brown,0113000,tt0073486,4
Scatman Crothers,0001079,tt0073486,5
Mwako Cumbuka,0191784,tt0073486,6
Danny DeVito,0000362,tt0073486,7
William Duell,0240239,tt0073486,8
Josip Elic,0253574,tt0073486,9
Lan Fendors,0271753,tt0073486,10
Rumi Hiiragi,0383708,tt0245429,1
Miyu Irino,0997115,tt0245429,2
Mari Natsuki,0622412,tt0245429,3
Takashi Naitô,0619822,tt0245429,4
Yasuko Sawaguchi,0768005,tt0245429,5
Tatsuya Gashûin,0309107,tt0245429,6
Ryûnosuke Kamiki,1126340,tt0245429,7
Yumi Tamai,1112144,tt0245429,8
Yô Ôizumi,1126978,tt0245429,9
Koba Hayashi,0370632,tt0245429,10
Kang-ho Song,0814280,tt6751668,1
Sun-kyun Lee,1310525,tt6751668,2
Yeo-jeong Cho,1856097,tt6751668,3
Woo-sik Choi,6079248,tt6751668,4
So-dam Park,6476224,tt6751668,5
Lee Jeong-eun,7553003,tt6751668,6
Jang Hye-jin,4525883,tt6751668,7
Park Myeong-hoon,3745391,tt6751668,8
Ji-so Jung,7616095,tt6751668,9
Hyun-jun Jung,10700274,tt6751668,10
Tom Hanks,0000158,tt0120689,1
David Morse,0001556,tt0120689,2
Bonnie Hunt,0001372,tt0120689,3
Michael Clarke Duncan,0003817,tt0120689,4
James Cromwell,0000342,tt0120689,5
Michael Jeter,0005052,tt0120689,6
Graham Greene,0001295,tt0120689,7
Doug Hutchison,0006535,tt0120689,8
Sam Rockwell,0005377,tt0120689,9
Barry Pepper,0001608,tt0120689,10
Ellen Burstyn,0000995,tt0816692,1
Matthew McConaughey,0000190,tt0816692,2
Mackenzie Foy,3237775,tt0816692,3
John Lithgow,0001475,tt0816692,4
Timothée Chalamet,3154303,tt0816692,5
David Oyelowo,0654648,tt0816692,6
Collette Wolfe,2180792,tt0816692,7
Francis X. McCarthy,0565133,tt0816692,8
Bill Irwin,0410347,tt0816692,9
Anne Hathaway,0004266,tt0816692,10
Jodie Foster,0000149,tt0102926,1
Lawrence A. Bonney,0095029,tt0102926,2
Kasi Lemmons,0501435,tt0102926,3
Lawrence T. Wrentz,0942145,tt0102926,4
Scott Glenn,0001277,tt0102926,5
Anthony Heald,0372217,tt0102926,6
Frankie Faison,0265670,tt0102926,7
Don Brockett,0110667,tt0102926,8
Frank Seals Jr.,0780557,tt0102926,9
Stuart Rudin,0748785,tt0102926,10
Tsutomu Tatsumi,0851302,tt0095327,1
Ayano Shiraishi,0794186,tt0095327,2
Yoshiko Shinohara,0794002,tt0095327,3
Akemi Yamaguchi,0945312,tt0095327,4
Kôzô Hashida,12329614,tt0095327,5
Masayo Sakai,10735745,tt0095327,6
